YH_rv_cpu UART live monitor
port=COM7
baud=115200
started_at=2026-05-06 17:41:01
---- live uart ----
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=56 pc=000014B0
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=57 pc=000014A4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=58 pc=000014B4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=59 pc=000014A8
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=5A pc=000014A4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=5B pc=000014AC
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=5C pc=000014A8
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=5D pc=000014B0
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=5E pc=000014B4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=5F pc=000014A8
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=60 pc=000014A4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=61 pc=000014AC
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=62 pc=000014A8
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=63 pc=000014B0
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=64 pc=000014AC
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=65 pc=000014B4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=66 pc=000014B0
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=67 pc=000014A4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=68 pc=000014B4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=69 pc=000014A8
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=6A pc=000014A4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=6B pc=000014AC
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=6C pc=000014A8
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=6D pc=000014B0
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=6E pc=000014AC
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=6F pc=000014B4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=70 pc=000014B0
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=71 pc=000014A4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=72 pc=000014B4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=73 pc=000014A8
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=74 pc=000014A4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=75 pc=000014AC
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=76 pc=000014A4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=77 pc=000014AC
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=78 pc=000014A8
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=79 pc=000014B0
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=7A pc=000014AC
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=7B pc=000014B4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=7C pc=000014A8
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=7D pc=000014A4
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=7E pc=000014AC
YH_rv_cpu CoreMark/MHz=4.137461 DMIPS/MHz=2.908287 tick=7F pc=000014A8
