
****** xsim v2025.2 (64-bit)
  **** SW Build 6299465 on Fri Nov 14 19:35:11 GMT 2025
  **** IP Build 6300035 on Fri Nov 14 10:48:45 MST 2025
  **** SharedData Build 6298862 on Thu Nov 13 04:50:51 MST 2025
  **** Start of session at: Thu May 14 09:32:23 2026
    ** Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
    ** Copyright 2022-2025 Advanced Micro Devices, Inc. All Rights Reserved.

source xsim.dir/YH_rv_cpu_dhrystone_rv32_zmmul_zbc_zicond_xthead_idbr_tb_snapshot/xsim_script.tcl
# xsim {YH_rv_cpu_dhrystone_rv32_zmmul_zbc_zicond_xthead_idbr_tb_snapshot} -testplusarg max_cycles=250000000 -testplusarg dhrystone_runs=1000 -testplusarg profile_pc -autoloadwcfg -runall
Time resolution is 1 ps
run -all
Starting Dhrystone simulation (MAX_CYCLES=250000000)...
DHRYSTONE_RUNS=1000
Microseconds for one run through Dhrystone: 4
Dhrystones per Second:                      5174
PROFILE_PC_BEGIN cycles=415013
PROFILE_PC pc=00000074 count=1000
PROFILE_PC pc=00000078 count=1000
PROFILE_PC pc=0000007c count=1000
PROFILE_PC pc=00000080 count=1000
PROFILE_PC pc=00000084 count=1000
PROFILE_PC pc=0000008c count=1000
PROFILE_PC pc=00000090 count=1000
PROFILE_PC pc=00000094 count=1000
PROFILE_PC pc=00000098 count=1000
PROFILE_PC pc=0000009c count=1000
PROFILE_PC pc=000000a0 count=1000
PROFILE_PC pc=000000a4 count=1000
PROFILE_PC pc=000000a8 count=1000
PROFILE_PC pc=000000ac count=1000
PROFILE_PC pc=000000b0 count=1000
PROFILE_PC pc=000000b4 count=1000
PROFILE_PC pc=000000b8 count=1000
PROFILE_PC pc=000000bc count=1000
PROFILE_PC pc=000000c0 count=1000
PROFILE_PC pc=000000c4 count=1000
PROFILE_PC pc=000000c8 count=1000
PROFILE_PC pc=000000cc count=1000
PROFILE_PC pc=000000d0 count=1000
PROFILE_PC pc=000000d4 count=1000
PROFILE_PC pc=000000d8 count=1000
PROFILE_PC pc=000000dc count=1000
PROFILE_PC pc=000000e0 count=1000
PROFILE_PC pc=000000e4 count=1000
PROFILE_PC pc=000000e8 count=1000
PROFILE_PC pc=000000ec count=1000
PROFILE_PC pc=000000f0 count=1000
PROFILE_PC pc=000000f4 count=1000
PROFILE_PC pc=000000f8 count=1000
PROFILE_PC pc=000000fc count=1000
PROFILE_PC pc=00000100 count=1000
PROFILE_PC pc=00000104 count=1000
PROFILE_PC pc=00000108 count=1000
PROFILE_PC pc=0000010c count=1000
PROFILE_PC pc=00000110 count=1000
PROFILE_PC pc=00000114 count=1000
PROFILE_PC pc=00000118 count=1000
PROFILE_PC pc=0000011c count=1000
PROFILE_PC pc=00000120 count=1000
PROFILE_PC pc=00000124 count=1000
PROFILE_PC pc=00000128 count=1000
PROFILE_PC pc=0000012c count=1000
PROFILE_PC pc=00000130 count=1000
PROFILE_PC pc=00000134 count=1000
PROFILE_PC pc=00000138 count=1000
PROFILE_PC pc=0000013c count=1000
